video_id,channel_id,channel_title,platform,title,description,language,published_at,view_count,like_count,comment_count,duration_seconds,is_short,extracted_at
vid_0000,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [0]","In this video we discuss: carbon tax: pros, cons, and myths [0]",en,2025-09-03 00:00:51.508006+00:00,216791,12750,699,806,False,2026-04-30 00:00:51.508006+00:00
vid_0001,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [1],In this video we discuss: comprendre la politique climatique canadienne [1],fr,2025-05-09 00:00:51.508006+00:00,380689,24754,1395,1332,False,2026-04-30 00:00:51.508006+00:00
vid_0002,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [2],In this video we discuss: élections 2025 : analyse des plateformes [2],fr,2025-10-29 00:00:51.508006+00:00,91683,5049,1163,686,False,2026-04-30 00:00:51.508006+00:00
vid_0003,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [3],In this video we discuss: comprendre la politique climatique canadienne [3],fr,2025-11-19 00:00:51.508006+00:00,114005,5565,322,827,False,2026-04-30 00:00:51.508006+00:00
vid_0004,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [4],In this video we discuss: décryptage du système électoral [4],fr,2026-01-19 00:00:51.508006+00:00,83031,2890,1213,1148,False,2026-04-30 00:00:51.508006+00:00
vid_0005,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [5],In this video we discuss: élections 2025 : analyse des plateformes [5],fr,2025-06-08 00:00:51.508006+00:00,389302,9197,3140,1229,False,2026-04-30 00:00:51.508006+00:00
vid_0006,UC_policy_001,PolicyPulse,youtube,Breaking Down the Federal Budget 2025 [6],In this video we discuss: breaking down the federal budget 2025 [6],en,2025-10-13 00:00:51.508006+00:00,371816,23102,5420,303,False,2026-04-30 00:00:51.508006+00:00
vid_0007,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [7],In this video we discuss: élections 2025 : analyse des plateformes [7],fr,2026-01-01 00:00:51.508006+00:00,185544,7954,828,1632,False,2026-04-30 00:00:51.508006+00:00
vid_0008,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [8],In this video we discuss: climate policy: what ottawa got wrong [8],en,2025-08-23 00:00:51.508006+00:00,165433,9410,1271,871,False,2026-04-30 00:00:51.508006+00:00
vid_0009,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [9],In this video we discuss: climate policy: what ottawa got wrong [9],en,2025-06-30 00:00:51.508006+00:00,350282,11161,4490,1144,False,2026-04-30 00:00:51.508006+00:00
vid_0010,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [10],In this video we discuss: why young canadians are disengaged from politics [10],en,2025-06-27 00:00:51.508006+00:00,449094,25946,1714,715,False,2026-04-30 00:00:51.508006+00:00
vid_0011,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [11],In this video we discuss: why young canadians are disengaged from politics [11],en,2026-02-16 00:00:51.508006+00:00,4177,271,44,1454,False,2026-04-30 00:00:51.508006+00:00
vid_0012,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [12]","In this video we discuss: carbon tax: pros, cons, and myths [12]",en,2026-01-19 00:00:51.508006+00:00,278045,13849,1061,1411,False,2026-04-30 00:00:51.508006+00:00
vid_0013,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [13],In this video we discuss: healthcare reform explained in 5 minutes [13],en,2026-03-19 00:00:51.508006+00:00,334367,14370,3125,808,False,2026-04-30 00:00:51.508006+00:00
vid_0014,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [14]","In this video we discuss: carbon tax: pros, cons, and myths [14]",en,2025-10-02 00:00:51.508006+00:00,282903,13903,1683,1153,False,2026-04-30 00:00:51.508006+00:00
vid_0015,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [15],In this video we discuss: jeunesse et engagement politique [15],fr,2026-04-18 00:00:51.508006+00:00,218640,5470,1598,645,False,2026-04-30 00:00:51.508006+00:00
vid_0016,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [16],In this video we discuss: décryptage du système électoral [16],fr,2026-04-17 00:00:51.508006+00:00,410926,12203,2390,444,False,2026-04-30 00:00:51.508006+00:00
vid_0017,UC_policy_001,PolicyPulse,youtube,Understanding Indigenous Land Rights [17],In this video we discuss: understanding indigenous land rights [17],en,2025-09-01 00:00:51.508006+00:00,278737,18082,2964,253,False,2026-04-30 00:00:51.508006+00:00
vid_0018,UC_policy_001,PolicyPulse,youtube,Understanding Indigenous Land Rights [18],In this video we discuss: understanding indigenous land rights [18],en,2025-11-28 00:00:51.508006+00:00,160947,1865,510,1470,False,2026-04-30 00:00:51.508006+00:00
vid_0019,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [19]","In this video we discuss: carbon tax: pros, cons, and myths [19]",en,2025-08-10 00:00:51.508006+00:00,231207,4922,1968,1263,False,2026-04-30 00:00:51.508006+00:00
vid_0020,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [20],In this video we discuss: la crise du logement à montréal expliquée [20],fr,2025-10-30 00:00:51.508006+00:00,248065,9096,1468,1262,False,2026-04-30 00:00:51.508006+00:00
vid_0021,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [21],In this video we discuss: immigration policy deep dive [21],en,2025-09-12 00:00:51.508006+00:00,181225,2924,640,1104,False,2026-04-30 00:00:51.508006+00:00
vid_0022,UC_policy_001,PolicyPulse,youtube,Free Speech Debate on Campus [22],In this video we discuss: free speech debate on campus [22],en,2025-12-17 00:00:51.508006+00:00,247785,7089,3617,1638,False,2026-04-30 00:00:51.508006+00:00
vid_0023,UC_civique_002,CiviqueMontréal,youtube,Droits linguistiques : où en est-on? [23],In this video we discuss: droits linguistiques : où en est-on? [23],fr,2025-07-20 00:00:51.508006+00:00,358586,14865,1986,492,False,2026-04-30 00:00:51.508006+00:00
vid_0024,UC_policy_001,PolicyPulse,youtube,Breaking Down the Federal Budget 2025 [24],In this video we discuss: breaking down the federal budget 2025 [24],en,2025-11-18 00:00:51.508006+00:00,64224,1552,383,1627,False,2026-04-30 00:00:51.508006+00:00
vid_0025,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [25],In this video we discuss: why young canadians are disengaged from politics [25],en,2025-10-01 00:00:51.508006+00:00,88798,6212,1053,998,False,2026-04-30 00:00:51.508006+00:00
vid_0026,UC_policy_001,PolicyPulse,youtube,"Carbon Tax: Pros, Cons, and Myths [26]","In this video we discuss: carbon tax: pros, cons, and myths [26]",en,2025-08-31 00:00:51.508006+00:00,154679,7871,1616,794,False,2026-04-30 00:00:51.508006+00:00
vid_0027,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [27],In this video we discuss: jeunesse et engagement politique [27],fr,2026-03-30 00:00:51.508006+00:00,208195,2688,1753,1370,False,2026-04-30 00:00:51.508006+00:00
vid_0028,UC_policy_001,PolicyPulse,youtube,The Housing Crisis: Who's Really To Blame? [28],In this video we discuss: the housing crisis: who's really to blame? [28],en,2025-09-01 00:00:51.508006+00:00,339012,17335,1429,285,False,2026-04-30 00:00:51.508006+00:00
vid_0029,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [29],In this video we discuss: healthcare reform explained in 5 minutes [29],en,2025-05-28 00:00:51.508006+00:00,290740,9966,2814,1781,False,2026-04-30 00:00:51.508006+00:00
vid_0030,UC_policy_001,PolicyPulse,youtube,Breaking Down the Federal Budget 2025 [30],In this video we discuss: breaking down the federal budget 2025 [30],en,2026-03-05 00:00:51.508006+00:00,209368,13565,643,1726,False,2026-04-30 00:00:51.508006+00:00
vid_0031,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [31],In this video we discuss: healthcare reform explained in 5 minutes [31],en,2025-11-03 00:00:51.508006+00:00,245608,18579,2316,1217,False,2026-04-30 00:00:51.508006+00:00
vid_0032,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [32],In this video we discuss: élections 2025 : analyse des plateformes [32],fr,2025-07-10 00:00:51.508006+00:00,476909,22151,3674,502,False,2026-04-30 00:00:51.508006+00:00
vid_0033,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [33],In this video we discuss: healthcare reform explained in 5 minutes [33],en,2026-04-22 00:00:51.508006+00:00,413232,30054,1579,673,False,2026-04-30 00:00:51.508006+00:00
vid_0034,UC_policy_001,PolicyPulse,youtube,Election 2025: Platform Comparison [34],In this video we discuss: election 2025: platform comparison [34],en,2026-01-05 00:00:51.508006+00:00,333161,9890,3522,222,False,2026-04-30 00:00:51.508006+00:00
vid_0035,UC_civique_002,CiviqueMontréal,youtube,La loi 101 et son avenir [35],In this video we discuss: la loi 101 et son avenir [35],fr,2025-08-08 00:00:51.508006+00:00,384439,6743,5346,1691,False,2026-04-30 00:00:51.508006+00:00
vid_0036,UC_civique_002,CiviqueMontréal,youtube,Droits linguistiques : où en est-on? [36],In this video we discuss: droits linguistiques : où en est-on? [36],fr,2026-02-02 00:00:51.508006+00:00,71060,2555,908,96,False,2026-04-30 00:00:51.508006+00:00
vid_0037,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [37],In this video we discuss: élections 2025 : analyse des plateformes [37],fr,2025-07-09 00:00:51.508006+00:00,158910,12188,918,1734,False,2026-04-30 00:00:51.508006+00:00
vid_0038,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [38],In this video we discuss: comprendre la politique climatique canadienne [38],fr,2025-06-04 00:00:51.508006+00:00,495695,10668,1280,483,False,2026-04-30 00:00:51.508006+00:00
vid_0039,UC_civique_002,CiviqueMontréal,youtube,Droits linguistiques : où en est-on? [39],In this video we discuss: droits linguistiques : où en est-on? [39],fr,2025-11-22 00:00:51.508006+00:00,496191,35932,5821,1745,False,2026-04-30 00:00:51.508006+00:00
vid_0040,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [40],In this video we discuss: décryptage du système électoral [40],fr,2026-02-07 00:00:51.508006+00:00,58432,1876,703,1611,False,2026-04-30 00:00:51.508006+00:00
vid_0041,UC_civique_002,CiviqueMontréal,youtube,Réforme de la santé : vrai ou faux? [41],In this video we discuss: réforme de la santé : vrai ou faux? [41],fr,2025-09-01 00:00:51.508006+00:00,187142,3108,2191,756,False,2026-04-30 00:00:51.508006+00:00
vid_0042,UC_policy_001,PolicyPulse,youtube,Healthcare Reform Explained in 5 Minutes [42],In this video we discuss: healthcare reform explained in 5 minutes [42],en,2026-04-28 00:00:51.508006+00:00,473891,8811,6067,1688,False,2026-04-30 00:00:51.508006+00:00
vid_0043,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [43],In this video we discuss: why young canadians are disengaged from politics [43],en,2026-03-05 00:00:51.508006+00:00,90044,4678,1203,1351,False,2026-04-30 00:00:51.508006+00:00
vid_0044,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [44],In this video we discuss: climate policy: what ottawa got wrong [44],en,2026-01-17 00:00:51.508006+00:00,499014,38936,4246,579,False,2026-04-30 00:00:51.508006+00:00
vid_0045,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [45],In this video we discuss: élections 2025 : analyse des plateformes [45],fr,2026-03-08 00:00:51.508006+00:00,7461,194,27,1683,False,2026-04-30 00:00:51.508006+00:00
vid_0046,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [46],In this video we discuss: immigration policy deep dive [46],en,2025-05-12 00:00:51.508006+00:00,148619,8708,1419,245,False,2026-04-30 00:00:51.508006+00:00
vid_0047,UC_civique_002,CiviqueMontréal,youtube,Élections 2025 : analyse des plateformes [47],In this video we discuss: élections 2025 : analyse des plateformes [47],fr,2026-02-16 00:00:51.508006+00:00,402160,24161,4667,1559,False,2026-04-30 00:00:51.508006+00:00
vid_0048,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [48],In this video we discuss: la crise du logement à montréal expliquée [48],fr,2025-11-23 00:00:51.508006+00:00,283857,10738,1678,249,False,2026-04-30 00:00:51.508006+00:00
vid_0049,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [49],In this video we discuss: la crise du logement à montréal expliquée [49],fr,2025-11-03 00:00:51.508006+00:00,331600,25497,1898,929,False,2026-04-30 00:00:51.508006+00:00
vid_0050,UC_civique_002,CiviqueMontréal,youtube,Souveraineté et fédéralisme en 2025 [50],In this video we discuss: souveraineté et fédéralisme en 2025 [50],fr,2025-10-30 00:00:51.508006+00:00,298669,16241,1008,74,False,2026-04-30 00:00:51.508006+00:00
vid_0051,UC_civique_002,CiviqueMontréal,youtube,La loi 101 et son avenir [51],In this video we discuss: la loi 101 et son avenir [51],fr,2026-03-09 00:00:51.508006+00:00,209847,16291,2045,1355,False,2026-04-30 00:00:51.508006+00:00
vid_0052,UC_policy_001,PolicyPulse,youtube,Free Speech Debate on Campus [52],In this video we discuss: free speech debate on campus [52],en,2025-08-04 00:00:51.508006+00:00,216323,14046,482,1453,False,2026-04-30 00:00:51.508006+00:00
vid_0053,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [53],In this video we discuss: immigration policy deep dive [53],en,2026-03-21 00:00:51.508006+00:00,414799,27284,2084,539,False,2026-04-30 00:00:51.508006+00:00
vid_0054,UC_policy_001,PolicyPulse,youtube,Election 2025: Platform Comparison [54],In this video we discuss: election 2025: platform comparison [54],en,2025-07-25 00:00:51.508006+00:00,466645,24367,3436,1102,False,2026-04-30 00:00:51.508006+00:00
vid_0055,UC_civique_002,CiviqueMontréal,youtube,La crise du logement à Montréal expliquée [55],In this video we discuss: la crise du logement à montréal expliquée [55],fr,2025-12-14 00:00:51.508006+00:00,213228,11862,2831,1669,False,2026-04-30 00:00:51.508006+00:00
vid_0056,UC_policy_001,PolicyPulse,youtube,Understanding Indigenous Land Rights [56],In this video we discuss: understanding indigenous land rights [56],en,2025-10-18 00:00:51.508006+00:00,134711,8381,1699,468,False,2026-04-30 00:00:51.508006+00:00
vid_0057,UC_policy_001,PolicyPulse,youtube,Free Speech Debate on Campus [57],In this video we discuss: free speech debate on campus [57],en,2026-03-22 00:00:51.508006+00:00,33746,1741,131,1590,False,2026-04-30 00:00:51.508006+00:00
vid_0058,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [58],In this video we discuss: why young canadians are disengaged from politics [58],en,2026-01-03 00:00:51.508006+00:00,461719,34383,1917,579,False,2026-04-30 00:00:51.508006+00:00
vid_0059,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [59],In this video we discuss: climate policy: what ottawa got wrong [59],en,2026-01-16 00:00:51.508006+00:00,77229,1396,175,1052,False,2026-04-30 00:00:51.508006+00:00
vid_0060,UC_civique_002,CiviqueMontréal,youtube,Budget fédéral 2025 : ce qu'il faut retenir [60],In this video we discuss: budget fédéral 2025 : ce qu'il faut retenir [60],fr,2026-02-18 00:00:51.508006+00:00,415581,21352,4508,339,False,2026-04-30 00:00:51.508006+00:00
vid_0061,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [61],In this video we discuss: why young canadians are disengaged from politics [61],en,2025-12-07 00:00:51.508006+00:00,159336,7220,2131,1495,False,2026-04-30 00:00:51.508006+00:00
vid_0062,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [62],In this video we discuss: décryptage du système électoral [62],fr,2025-10-16 00:00:51.508006+00:00,246795,6557,1293,106,False,2026-04-30 00:00:51.508006+00:00
vid_0063,UC_policy_001,PolicyPulse,youtube,Immigration Policy Deep Dive [63],In this video we discuss: immigration policy deep dive [63],en,2025-10-04 00:00:51.508006+00:00,208423,2802,1429,1709,False,2026-04-30 00:00:51.508006+00:00
vid_0064,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [64],In this video we discuss: comprendre la politique climatique canadienne [64],fr,2025-06-08 00:00:51.508006+00:00,47113,642,660,209,False,2026-04-30 00:00:51.508006+00:00
vid_0065,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [65],In this video we discuss: jeunesse et engagement politique [65],fr,2026-03-24 00:00:51.508006+00:00,421865,30874,6215,1511,False,2026-04-30 00:00:51.508006+00:00
vid_0066,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [66],In this video we discuss: why young canadians are disengaged from politics [66],en,2025-10-01 00:00:51.508006+00:00,314095,20268,1177,1409,False,2026-04-30 00:00:51.508006+00:00
vid_0067,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [67],In this video we discuss: décryptage du système électoral [67],fr,2025-10-16 00:00:51.508006+00:00,257354,18022,2063,601,False,2026-04-30 00:00:51.508006+00:00
vid_0068,UC_civique_002,CiviqueMontréal,youtube,Réforme de la santé : vrai ou faux? [68],In this video we discuss: réforme de la santé : vrai ou faux? [68],fr,2025-08-23 00:00:51.508006+00:00,125274,2478,1028,1162,False,2026-04-30 00:00:51.508006+00:00
vid_0069,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [69],In this video we discuss: climate policy: what ottawa got wrong [69],en,2025-11-29 00:00:51.508006+00:00,116668,4168,789,1099,False,2026-04-30 00:00:51.508006+00:00
vid_0070,UC_civique_002,CiviqueMontréal,youtube,Réforme de la santé : vrai ou faux? [70],In this video we discuss: réforme de la santé : vrai ou faux? [70],fr,2025-11-23 00:00:51.508006+00:00,91866,2827,1316,701,False,2026-04-30 00:00:51.508006+00:00
vid_0071,UC_civique_002,CiviqueMontréal,youtube,Jeunesse et engagement politique [71],In this video we discuss: jeunesse et engagement politique [71],fr,2025-05-31 00:00:51.508006+00:00,240714,7940,2156,1541,False,2026-04-30 00:00:51.508006+00:00
vid_0072,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [72],In this video we discuss: décryptage du système électoral [72],fr,2025-11-02 00:00:51.508006+00:00,101577,4803,1038,1185,False,2026-04-30 00:00:51.508006+00:00
vid_0073,UC_civique_002,CiviqueMontréal,youtube,Budget fédéral 2025 : ce qu'il faut retenir [73],In this video we discuss: budget fédéral 2025 : ce qu'il faut retenir [73],fr,2026-01-15 00:00:51.508006+00:00,367579,8883,4055,342,False,2026-04-30 00:00:51.508006+00:00
vid_0074,UC_civique_002,CiviqueMontréal,youtube,Décryptage du système électoral [74],In this video we discuss: décryptage du système électoral [74],fr,2025-05-30 00:00:51.508006+00:00,476279,7933,5445,263,False,2026-04-30 00:00:51.508006+00:00
vid_0075,UC_civique_002,CiviqueMontréal,youtube,Comprendre la politique climatique canadienne [75],In this video we discuss: comprendre la politique climatique canadienne [75],fr,2026-03-30 00:00:51.508006+00:00,468001,9181,6769,956,False,2026-04-30 00:00:51.508006+00:00
vid_0076,UC_policy_001,PolicyPulse,youtube,Why Young Canadians Are Disengaged From Politics [76],In this video we discuss: why young canadians are disengaged from politics [76],en,2025-12-02 00:00:51.508006+00:00,222870,14633,3186,1080,False,2026-04-30 00:00:51.508006+00:00
vid_0077,UC_civique_002,CiviqueMontréal,youtube,Budget fédéral 2025 : ce qu'il faut retenir [77],In this video we discuss: budget fédéral 2025 : ce qu'il faut retenir [77],fr,2026-01-27 00:00:51.508006+00:00,295242,4916,2955,1307,False,2026-04-30 00:00:51.508006+00:00
vid_0078,UC_policy_001,PolicyPulse,youtube,Climate Policy: What Ottawa Got Wrong [78],In this video we discuss: climate policy: what ottawa got wrong [78],en,2026-03-13 00:00:51.508006+00:00,4422,188,38,1029,False,2026-04-30 00:00:51.508006+00:00
vid_0079,UC_civique_002,CiviqueMontréal,youtube,La loi 101 et son avenir [79],In this video we discuss: la loi 101 et son avenir [79],fr,2025-07-25 00:00:51.508006+00:00,399722,17767,3915,1658,False,2026-04-30 00:00:51.508006+00:00
